Date,Open,High,Low,Close,Adj Close,Volume
2014-04-07,2.307525,2.307525,2.261831,2.284678,2.284678,2121436
2014-04-08,2.284678,2.299909,2.261831,2.261831,2.261831,899338
2014-04-09,2.276453,2.389468,2.276453,2.389468,2.389468,1111175
2014-04-10,2.381396,2.454049,2.349106,2.454049,2.454049,1844898
2014-04-11,2.445976,2.462121,2.389468,2.462121,2.462121,1692034
2014-04-14,2.445976,2.478266,2.405613,2.445976,2.445976,1788782
2014-04-15,2.421759,2.510556,2.421759,2.510556,2.510556,847441
2014-04-16,2.510556,2.583209,2.502484,2.583209,2.583209,1334401
2014-04-17,2.575137,2.615499,2.534774,2.575137,2.575137,1652641
2014-04-18,2.558992,2.583209,2.550919,2.583209,2.583209,626197
2014-04-21,2.583209,2.607427,2.558992,2.583209,2.583209,1443909
2014-04-22,2.583209,2.583209,2.502484,2.526701,2.526701,2375835
2014-04-23,2.534774,2.534774,2.429831,2.445976,2.445976,2951862
2014-04-24,2.429831,2.478266,2.421759,2.478266,2.478266,1602719
2014-04-25,2.470194,2.478266,2.445976,2.462121,2.462121,1707519
2014-04-28,2.462121,2.462121,2.397541,2.397541,2.397541,1610399
2014-04-29,2.397541,2.397541,2.308743,2.397541,2.397541,1905102
2014-04-30,2.357178,2.397541,2.341033,2.349106,2.349106,2993237
2014-05-02,2.349106,2.421759,2.349106,2.421759,2.421759,1159363
2014-05-05,2.381396,2.429831,2.349106,2.413686,2.413686,1855923
2014-05-06,2.365251,2.421759,2.365251,2.413686,2.413686,1112166
2014-05-07,2.405613,2.405613,2.365251,2.381396,2.381396,1719039
2014-05-08,2.373323,2.381396,2.349106,2.373323,2.373323,1479337
2014-05-09,2.373323,2.373323,2.341033,2.365251,2.365251,1468189
2014-05-12,2.341033,2.357178,2.324888,2.349106,2.349106,1759423
2014-05-14,2.349106,2.349106,2.308743,2.324888,2.324888,3009837
2014-05-15,2.324888,2.324888,2.276453,2.308743,2.308743,2199062
2014-05-16,2.276453,2.300671,2.219945,2.244163,2.244163,4253313
2014-05-19,2.203800,2.236090,2.179583,2.219945,2.219945,2608104
2014-05-20,2.203800,2.203800,2.187655,2.187655,2.187655,2554341
2014-05-21,2.179583,2.203800,2.147292,2.163438,2.163438,3229718
2014-05-22,2.163438,2.163438,2.106930,2.147292,2.147292,4455108
2014-05-23,2.147292,2.163438,2.115002,2.131147,2.131147,3028666
2014-05-26,2.139220,2.155365,2.115002,2.155365,2.155365,2398504
2014-05-27,2.163438,2.163438,2.090785,2.098857,2.098857,5215093
2014-05-28,2.098857,2.115002,2.058495,2.106930,2.106930,3746532
2014-05-29,2.090785,2.123075,2.074640,2.106930,2.106930,6209577
2014-05-30,2.090785,2.147292,2.058495,2.074640,2.074640,46673842
2014-06-02,2.090785,2.098857,2.018132,2.074640,2.074640,18551680
2014-06-03,2.066567,2.082712,2.042350,2.074640,2.074640,3659819
2014-06-04,2.058495,2.058495,2.026205,2.042350,2.042350,4078275
2014-06-05,2.034277,2.034277,1.993914,1.993914,1.993914,6554326
2014-06-06,1.977769,1.993914,1.937407,1.977769,1.977769,6358477
2014-06-09,1.977769,1.977769,1.921262,1.953552,1.953552,3480197
2014-06-10,1.953552,1.953552,1.888972,1.937407,1.937407,6257641
2014-06-11,1.905117,1.913189,1.880899,1.888972,1.888972,7303782
2014-06-12,1.888972,1.905117,1.856681,1.905117,1.905117,2863414
2014-06-13,1.897044,1.961624,1.864754,1.961624,1.961624,2846443
2014-06-16,1.937407,1.985842,1.929334,1.985842,1.985842,1798692
2014-06-17,1.977769,2.026205,1.977769,2.018132,2.018132,1665029
2014-06-18,2.018132,2.026205,1.985842,2.026205,2.026205,1896059
2014-06-19,2.001987,2.034277,1.993914,2.026205,2.026205,1787048
2014-06-20,2.001987,2.042350,1.985842,1.993914,1.993914,4024636
2014-06-23,1.993914,2.001987,1.961624,2.001987,2.001987,2185560
2014-06-24,1.993914,2.018132,1.977769,2.018132,2.018132,1241370
2014-06-25,2.001987,2.018132,1.993914,2.001987,2.001987,2187170
2014-06-26,1.985842,2.010059,1.977769,2.010059,2.010059,1501759
2014-06-27,2.010059,2.050422,1.993914,2.050422,2.050422,1024833
2014-06-30,2.082712,2.090785,2.026205,2.082712,2.082712,3338110
2014-07-01,2.082712,2.082712,2.058495,2.066567,2.066567,1335392
2014-07-02,2.074640,2.074640,2.026205,2.042350,2.042350,2247374
2014-07-03,2.034277,2.042350,2.018132,2.042350,2.042350,1221550
2014-07-04,2.026205,2.034277,2.010059,2.010059,2.010059,1756574
2014-07-07,1.993914,2.034277,1.977769,2.034277,2.034277,2284909
2014-07-08,2.026205,2.042350,1.993914,2.042350,2.042350,1297610
2014-07-09,2.034277,2.042350,2.010059,2.018132,2.018132,1530622
2014-07-10,2.050422,2.058495,2.001987,2.010059,2.010059,2679457
2014-07-11,2.018132,2.034277,2.001987,2.034277,2.034277,1940407
2014-07-14,2.018132,2.050422,2.018132,2.034277,2.034277,1759671
2014-07-16,2.034277,2.058495,2.034277,2.058495,2.058495,1402038
2014-07-17,2.050422,2.082712,2.050422,2.058495,2.058495,1203835
2014-07-18,2.058495,2.090785,2.050422,2.090785,2.090785,614429
2014-07-21,2.090785,2.131147,2.082712,2.131147,2.131147,1321271
2014-07-22,2.123075,2.139220,2.074640,2.139220,2.139220,2348334
2014-07-23,2.190561,2.224789,2.147777,2.199118,2.199118,1899523
2014-07-24,2.224789,2.404483,2.207675,2.395926,2.395926,6280558
2014-07-25,2.395926,2.404483,2.310358,2.404483,2.404483,2898836
2014-07-30,2.387370,2.438711,2.344585,2.438711,2.438711,4465177
2014-07-31,2.421597,2.490052,2.404483,2.481495,2.481495,3835976
2014-08-01,2.447268,2.532837,2.430154,2.515723,2.515723,2183155
2014-08-04,2.507166,2.524280,2.481495,2.481495,2.481495,1053187
2014-08-05,2.498609,2.498609,2.361699,2.404483,2.404483,1048512
2014-08-06,2.404483,2.413040,2.336028,2.387370,2.387370,1168416
2014-08-07,2.395926,2.421597,2.361699,2.421597,2.421597,1152055
2014-08-08,2.378813,2.413040,2.353142,2.404483,2.404483,700722
2014-08-11,2.387370,2.430154,2.361699,2.413040,2.413040,880577
2014-08-12,2.413040,2.447268,2.413040,2.421597,2.421597,1166780
2014-08-13,2.413040,2.430154,2.395926,2.413040,2.413040,1611568
2014-08-14,2.387370,2.413040,2.353142,2.353142,2.353142,2190166
2014-08-15,2.361699,2.490052,2.353142,2.464381,2.464381,3601662
2014-08-18,2.455825,2.498609,2.455825,2.481495,2.481495,2637292
2014-08-19,2.464381,2.498609,2.447268,2.455825,2.455825,2886214
2014-08-20,2.481495,2.644076,2.481495,2.635519,2.635519,8226828
2014-08-21,2.635519,2.635519,2.575621,2.626962,2.626962,2708463
2014-08-22,2.626962,2.626962,2.515723,2.601292,2.601292,2753222
2014-08-25,2.584178,2.635519,2.524280,2.635519,2.635519,9102381
2014-08-26,2.558507,2.712531,2.558507,2.678304,2.678304,4664783
2014-08-27,2.644076,2.661190,2.575621,2.609848,2.609848,8018575
2014-08-28,2.609848,2.609848,2.507166,2.532837,2.532837,3031244
2014-08-29,2.549950,2.567064,2.472938,2.567064,2.567064,1892628
2014-09-02,2.490052,2.532837,2.490052,2.490052,2.490052,685880
2014-09-03,2.455825,2.515723,2.455825,2.498609,2.498609,1441529
2014-09-04,2.498609,2.541393,2.490052,2.498609,2.498609,739287
2014-09-05,2.524280,2.524280,2.464381,2.490052,2.490052,950930
2014-09-08,2.524280,2.541393,2.481495,2.498609,2.498609,632590
2014-09-09,2.498609,2.507166,2.464381,2.464381,2.464381,725731
2014-09-10,2.481495,2.498609,2.464381,2.472938,2.472938,893432
2014-09-11,2.507166,2.507166,2.464381,2.464381,2.464381,293681
