Date,Open,High,Low,Close,Adj Close,Volume
2015-06-09,5.475555,5.617777,5.084444,5.084444,5.084444,7248178
2015-06-10,5.084444,5.262222,5.048888,5.120000,5.120000,664959
2015-06-11,5.155555,5.155555,4.977777,5.120000,5.120000,530353
2015-06-12,5.084444,5.155555,5.013333,5.013333,5.013333,306154
2015-06-15,5.013333,5.048888,4.871111,4.942222,4.942222,1156303
2015-06-16,4.942222,5.084444,4.942222,5.048888,5.048888,334729
2015-06-17,5.084444,5.297777,5.084444,5.155555,5.155555,738028
2015-06-18,5.155555,5.226666,5.120000,5.155555,5.155555,246318
2015-06-19,5.155555,5.333333,5.155555,5.297777,5.297777,860920
2015-06-22,5.333333,6.115555,5.297777,6.080000,6.080000,4019231
2015-06-23,6.115555,6.151111,5.795555,5.866666,5.866666,1726200
2015-06-24,5.866666,6.435555,5.831111,6.257777,6.257777,4115165
2015-06-25,6.186666,6.542222,6.115555,6.115555,6.115555,3499635
2015-06-26,6.115555,6.293333,6.044444,6.222222,6.222222,1278773
2015-06-29,6.151111,6.151111,5.688888,5.795555,5.795555,824175
2015-06-30,5.688888,6.008888,5.688888,5.902222,5.902222,1130414
2015-07-01,5.937777,6.222222,5.937777,6.044444,6.044444,2503687
2015-07-02,6.080000,6.186666,5.902222,5.937777,5.937777,637523
2015-07-03,5.937777,5.937777,5.795555,5.795555,5.795555,323465
2015-07-06,5.760000,5.795555,5.582222,5.724444,5.724444,574453
2015-07-07,5.760000,5.937777,5.760000,5.795555,5.795555,1069481
2015-07-08,5.795555,5.795555,5.404444,5.475555,5.475555,715471
2015-07-09,5.404444,5.724444,5.404444,5.688888,5.688888,669557
2015-07-10,5.653333,5.795555,5.582222,5.617777,5.617777,490387
2015-07-13,5.617777,5.724444,5.546666,5.582222,5.582222,564960
2015-07-14,5.653333,5.760000,5.582222,5.617777,5.617777,751232
2015-07-15,5.617777,5.617777,5.582222,5.582222,5.582222,221076
2015-07-16,5.582222,5.760000,5.546666,5.688888,5.688888,502818
2015-07-20,5.724444,5.795555,5.653333,5.724444,5.724444,576900
2015-07-21,5.760000,6.080000,5.760000,6.008888,6.008888,1558054
