Date,Open,High,Low,Close,Adj Close,Volume
2014-04-07,3.850511,3.850511,3.724629,3.754248,2.692800,24084822
2014-04-08,3.743141,3.743141,3.676497,3.683902,2.642344,26214783
2014-04-09,3.702414,3.702414,3.661688,3.680200,2.639688,15488810
2014-04-10,3.702414,3.702414,3.680200,3.687605,2.644999,22912614
2014-04-11,3.683902,3.683902,3.646878,3.646878,2.615787,10205231
2014-04-14,3.650580,3.650580,3.643176,3.643176,2.613132,18700228
2014-04-15,3.643176,3.672795,3.635771,3.661688,2.626410,30976000
2014-04-16,3.661688,3.661688,3.646878,3.654283,2.621099,22676011
2014-04-17,3.665390,3.717224,3.654283,3.698712,2.652966,55291482
2014-04-18,3.698712,3.717224,3.698712,3.709819,2.660933,27231417
2014-04-21,3.702414,3.776463,3.702414,3.739438,2.682178,47843370
2014-04-22,3.739438,3.772760,3.717224,3.772760,2.706079,237668675
2014-04-23,3.746843,3.772760,3.743141,3.754248,2.692800,32338354
2014-04-24,3.746843,3.765355,3.739438,3.750546,2.690145,35810683
2014-04-25,3.750546,3.757950,3.743141,3.750546,2.690145,28580266
2014-04-28,3.743141,3.754248,3.724629,3.732034,2.676867,20011264
2014-04-29,3.732034,3.746843,3.724629,3.732034,2.676867,18052002
2014-04-30,3.732034,3.739438,3.680200,3.728331,2.674211,62827645
2014-05-02,3.720926,3.720926,3.676497,3.691307,2.647654,26818173
2014-05-05,3.695009,3.698712,3.657985,3.665390,2.629066,25844754
2014-05-06,3.654283,3.680200,3.650580,3.672795,2.634377,22531781
2014-05-07,3.672795,3.713521,3.669092,3.709819,2.660933,33345805
2014-05-08,3.709819,3.750546,3.706117,3.709819,2.660933,24464574
2014-05-09,3.732034,3.732034,3.702414,3.706117,2.658278,16997555
2014-05-12,3.706117,3.720926,3.687605,3.695009,2.650310,34866434
2014-05-14,3.713521,3.717224,3.687605,3.695009,2.650310,54855011
2014-05-15,3.683902,3.698712,3.683902,3.695009,2.650310,32370765
2014-05-16,3.709819,3.720926,3.672795,3.672795,2.634377,67646662
2014-05-19,3.683902,3.683902,3.669092,3.672795,2.634377,47503592
2014-05-20,3.683902,3.683902,3.672795,3.676497,2.637032,29615807
2014-05-21,3.672795,3.676497,3.650580,3.657985,2.623753,28114084
2014-05-22,3.680200,3.702414,3.676497,3.680200,2.639688,23730458
2014-05-23,3.683902,3.687605,3.669092,3.683902,2.642344,38057324
2014-05-26,3.683902,3.687605,3.672795,3.680200,2.639688,37115237
2014-05-27,3.683902,3.713521,3.683902,3.713521,2.663588,33876810
2014-05-28,3.713521,3.791272,3.698712,3.791272,2.719357,61033141
2014-05-29,3.794975,3.850511,3.787570,3.817189,2.737946,89843527
2014-05-30,3.817189,3.998607,3.802379,3.998607,2.868071,584247353
2014-06-02,3.961583,3.983798,3.894940,3.913452,2.806992,61739707
2014-06-03,3.924559,3.928262,3.887535,3.898642,2.796369,36386523
2014-06-04,3.887535,3.887535,3.865320,3.869023,2.775125,36097522
2014-06-05,3.946774,3.946774,3.861618,3.869023,2.775125,28471148
2014-06-06,3.869023,3.869023,3.846808,3.846808,2.759190,24358697
2014-06-09,3.846808,3.857916,3.835701,3.850511,2.761847,11444422
2014-06-10,3.850511,3.869023,3.835701,3.854213,2.764502,28100579
2014-06-11,3.861618,3.880130,3.843106,3.846808,2.759190,17914794
2014-06-12,3.854213,3.880130,3.828296,3.857916,2.767158,25631920
2014-06-13,3.854213,3.872725,3.846808,3.854213,2.764502,24741690
2014-06-16,3.854213,3.857916,3.839404,3.846808,2.759190,16361214
2014-06-17,3.846808,3.869023,3.839404,3.869023,2.775125,40410924
2014-06-18,3.869023,3.872725,3.857916,3.872725,2.777780,44338631
2014-06-19,4.040000,4.072000,4.020000,4.072000,2.920714,5081500
2014-06-20,4.072000,4.072000,4.028000,4.048000,2.903499,37800000
2014-06-23,4.048000,4.052000,4.020000,4.036000,2.894892,28039500
2014-06-24,4.048000,4.048000,4.008000,4.028000,2.889153,30463500
2014-06-25,4.012000,4.024000,4.000000,4.004000,2.871939,37734500
2014-06-26,4.004000,4.004000,3.916000,3.980000,2.854725,42811000
2014-06-27,3.960000,3.960000,3.904000,3.920000,2.811689,48207000
2014-06-30,3.916000,3.936000,3.872000,3.916000,2.808820,71400500
2014-07-01,3.912000,3.952000,3.896000,3.944000,2.828903,34298500
2014-07-02,3.952000,3.964000,3.936000,3.952000,2.834641,12954000
2014-07-03,3.952000,3.984000,3.948000,3.980000,2.854725,28881000
2014-07-04,3.980000,3.980000,3.968000,3.980000,2.854725,14476000
2014-07-07,3.980000,4.004000,3.976000,3.996000,2.866201,30824500
2014-07-08,4.000000,4.012000,3.996000,4.000000,2.869071,32207000
2014-07-09,4.000000,4.016000,3.988000,4.008000,2.874808,16668000
2014-07-10,3.956000,4.016000,3.956000,4.012000,2.877677,15356500
2014-07-11,4.012000,4.020000,3.980000,4.016000,2.880546,25967500
2014-07-14,4.016000,4.040000,4.008000,4.024000,2.886285,20557000
2014-07-16,4.028000,4.072000,4.020000,4.032000,2.892023,20465000
2014-07-17,4.036000,4.036000,4.024000,4.028000,2.889153,9761500
2014-07-18,4.016000,4.028000,4.000000,4.004000,2.871939,15917500
2014-07-21,4.004000,4.040000,3.980000,4.024000,2.886285,18836000
2014-07-22,4.036000,4.036000,4.000000,4.004000,2.871939,13258500
2014-07-23,3.996000,4.008000,3.992000,3.996000,2.866201,5091500
2014-07-24,4.000000,4.004000,3.984000,4.000000,2.869071,11542500
2014-07-25,4.008000,4.020000,3.972000,3.976000,2.851856,9268000
2014-07-30,3.976000,3.976000,3.952000,3.960000,2.840380,26886500
2014-07-31,3.960000,3.964000,3.948000,3.956000,2.837510,34869500
2014-08-01,3.956000,3.960000,3.944000,3.948000,2.831773,23981000
2014-08-04,3.944000,3.968000,3.940000,3.964000,2.843249,18654500
2014-08-05,3.960000,3.980000,3.960000,3.976000,2.851856,10271000
2014-08-06,3.976000,3.976000,3.956000,3.960000,2.840380,40697500
2014-08-07,3.960000,3.968000,3.952000,3.952000,2.834641,39020000
2014-08-08,3.904000,3.920000,3.788000,3.792000,2.751910,47769000
2014-08-11,3.792000,3.820000,3.784000,3.796000,2.754812,23895500
2014-08-12,3.796000,3.812000,3.788000,3.800000,2.757715,29062000
2014-08-13,3.812000,3.844000,3.796000,3.804000,2.760618,39744000
2014-08-14,3.820000,3.832000,3.800000,3.824000,2.775133,21880500
2014-08-15,3.824000,3.836000,3.820000,3.828000,2.778035,29242000
2014-08-18,3.836000,3.856000,3.828000,3.848000,2.792549,20069000
2014-08-19,3.852000,3.900000,3.852000,3.868000,2.807064,27308500
2014-08-20,3.872000,3.884000,3.864000,3.868000,2.807064,12410000
2014-08-21,3.880000,3.900000,3.860000,3.868000,2.807064,11694500
2014-08-22,3.880000,3.884000,3.864000,3.864000,2.804161,8230000
2014-08-25,3.868000,3.872000,3.856000,3.868000,2.807064,10629000
2014-08-26,3.868000,3.896000,3.852000,3.868000,2.807064,8009000
2014-08-27,3.880000,3.900000,3.856000,3.868000,2.807064,19690500
2014-08-28,3.880000,3.880000,3.852000,3.856000,2.798355,35119000
2014-08-29,3.860000,3.880000,3.848000,3.856000,2.798355,37052000
2014-09-02,3.856000,3.856000,3.828000,3.836000,2.783842,43525500
